Tên tiếng Việt,Tên khoa học,Tên đồng nghĩa,Họ thực vật,Công dụng,Phân bố,Mùa hoa quả
"Cỏ kê, Cỏ rỗ, Hạt rỗ",Hackelochloa granularis (L.) Kuntze,"Cenchrus granularis L., Manisuris granularis L.",Hòa thảo – Poaceae,Chữa phình lách và gan (cả cây).,"Bắc Bộ, Bình Phước (Bình Long).",Tháng 5 – 11. 
"Rau má, Xà lách dây",Centella asiatica (L.) Urb. in Mart.,"Hydrocotyle asiatica L., Trisanthus cochinchinensis Lour.",Hoa tán – Apiaceae,"Chữa sốt, bệnh về gan, vàng da, táo bón, thổ huyết, tiểu tiện ít và buốt… (cả cây).",Cây mọc tự nhiên phổ biến ở khắp nơi.,gần như quanh năm. 
Vàng anh ,Saraca dives Pierre,0,Fabaceae,"Phong thấp, đòn ngã, kinh nguyệt nhiều (Vỏ thân).","Gặp phổ biến hầu khắp các tỉnh miền Bắc Việt Nam, thường tập trung ở vùng núi đất, núi đá vôi xen nhau: Lai Châu, Lào Cai, Sơn La, Tuyên Quang, Nghệ An, Đà Nẵng,… Cây mọc tự nhiên gần suối trong rừng rậm thường xanh.",I – VIII 
"Cói bông đầu nhỏ, Nhẵn diệp đầu nhỏ",Lipocarpha microcephala (R. Br.) Kunth,Hypaelyptum microcephalum R. Br.,Cói – Cyperaceae,Chữa trẻ em kinh phong (cả cây).,"Bắc Giang, Bắc Ninh, Hà Nội, Ninh Bình, Đồng Nai (Biên Hòa), Bà Rịa-Vũng Tàu (Côn Đảo), Kiên Giang (Hà Tiên, Hòn Đất, Rạch Giá, Phú Quốc).",Tháng 8 – 12. 
"Sa nhân, Co néng, Sa súc, Mè tré bà",Amomum villosum Lour,0,Zingiberaceae,"Dễ tiêu, chống nôn, tả, lỵ, làm mạnh tỳ vị (Hạt sắc nước uống). Tê thấp, động thai (Rễ sắc uống).",Cây mọc tự nhiên trong rừng thưa ở nhiều địa phương của Việt Nam.,"V-VI, 7-8"
"Cồng núi, Cà nghét",Calophyllum dryobalanoides Pierre,0,Bứa (Clusiaceae),Thuốc tẩy (Rễ).,"Quảng Trị, Thừa Thiên Huế (Bạch Mã), Bà Rịa Vũng Tàu. Cây mọc tự nhiên vùng rừng núi.",VII-VIII; 9-10
"Lan va ni, Va ni trung bộ",Vanilla annamica Gagnep.,0,Orchidaceae,Chữa ho do phế nhiệt (cả cây).,"Ninh Bình, Thừa Thiên Huế (Bạch Mã), Gia Lai, Đắk Lắk, Khánh Hòa, Lâm Đồng. Cây mọc phụ sinh, leo, thân chia đốt; gặp rải rác trong rừng thưa, ở độ cao 100-200 m.",0
Cói đầu hồng,Rhynchospora rubra (Lour.) Makino – Schoenus ruber Lour.,0,Cói (Cyperaceae),"Chữa phong thấp, giải nhiệt (cả cây).","Cây mọc tự nhiên khắp nơi từ miền núi, trung du tới đồng bằng, trong các trảng cỏ, ven đường, nơi khô ráo.",III-X
Mộc hương nam,Aristolochia balansae Franch.,0,Aristolochiaceae,"Thấp khớp, lỵ và bí tiểu tiện (Vỏ cây).","Lào Cai, Hoà Bình, Hà Tây. Cây mọc tự nhiên rải rác dưới tán rừng, ở độ cao 600-800 m.",0
"Trắc balansa, Cọ khẹt, Bạt ong, Sưa hạt tròn, Muồng nước",Dalbergia assamica Benth. – B. balansae Prain,0,Fabaceae.,"Chữa phong thấp, đòn ngã (Rễ).","Lào Cai, Lai Châu, Sơn La, Vĩnh Phúc, Hoà Bình, Hà Nội, Quảng Nam, Đà Nẵng. Cây mọc tự nhiên trong rừng hỗn giao thứ sinh thường xanh hay rụng lá, ở độ cao tới 1500 m.",III-VI
"Màn màn hoa trắng, Bạch hoa thái",Cleome gynandra L.,0,Capparaceae,"Tê thấp, sốt, sốt rét (Lá sắc uống). Sát trùng, chấy rận (Hạt). Nhức đầu (Lá xông). Còn được dùng chữa lao xương; dùng ngoài đắp rút mủ mụn nhọt độc, vết cắn của bọ cạp và rắn cắn.","Cây mọc tự nhiên nơi ẩm, trong vườn, ven bãi sông. Phổ biến ở các tỉnh đồng bằng.",V-VI; 6-8 
"Ô dược, Dầu đắng, Sim rừng, Ô dước",Lindera aggregata (Sims) Kosterm. – Laurus aggregata Sims,0,Lauraceae,"Bổ dạ dày, điều kinh, đau bụng, lợi trung tiện (Vỏ sắc uống).","Thừa Thiên Huế, Tây Nguyên. Cây mọc tự nhiên rải rác trong rừng thứ sinh, ở độ cao 200-1000 m.","III-IV, 6-10"
"Giảo cổ lam bảy lá, Dền toòng lông",Gynostemma pubescens (Gagnep.) C.Y.Wu,Gynostemma pedatum var. pubescens Gagnep.,Bầu bí – Cucurbitaceae,"Chữa mỡ máu, hạ cholesterol mụn nhọt, lở ngứa, tiêu viêm, giải độc gan, giảm ho (cả cây).","Vùng núi một số tỉnh Lào Cai, Hà Giang, Bắc Kạn, Thái Nguyên, Thanh Hóa, Nghệ An, Quảng Bình.",Tháng 3 – 11. 
"Nghể núi, Nghể Nepal",Polygonum alatum Buch.-Ham. ex D. Don – Polygonum nepalense Meisn.,0,Polygonaceae,"Chứa nhiều vitamin C, làm thuốc giải nhiệt.","Lào Cai, Hà Giang, Lai Châu. Cây mọc tự nhiên ở bãi đất ẩm, vách núi đá ẩm độ cao từ 1.000-2.000m.",0
"Móc mèo xanh, Vang xanh",Caesalpinia digyna Rottl.,0,Caesalpiniaceae,"Lao phổi, tràng nhạc, mắt vàng và bệnh đái đường (Rễ).","Lâm Đồng, Khánh Hòa, Ninh Thuận, Tây Ninh, Đồng Nai, Bà Rịa Vũng Tàu. Cây mọc tự nhiên trong các lùm bụi ven đường, ven rừng, trong rừng thưa và rừng phục hồi, ở độ cao tới 1200 m.",V-X; 10-2
"Thóc lép cuống mảnh, Tràng quả chân mảnh",Desmodium laxum DC. ssp. leptopus (A. Gray ex Benth.) Ohashi – D. leptopus A. Gray ex Benth.,0,Fabaceae,"Cả cây dùng chữa viêm gan, rắn cắn.","Lào Cai (Sa Pa), Quảng Ninh, Quảng Trị, Khánh Hoà. Cây mọc tự nhiên rải rác trong rừng rậm thường xanh, ven suối, nơi ẩm và ít ánh sáng, ở độ cao tới 1500 m.",VIII-X
"Huyết đằng hoa trắng, Huyết rồng lào, Mo thùy lào",Spatholobus suberectus Dunn.,0,Fabaceae,"Thuốc bổ máu, chữa phong thấp, khỏe gân cốt, kinh nguyệt không đều (Thân).","Lai Châu (Bình Lư), Lạng Sơn (Văn Quan), Đồng Nai (Trảng Bom). Cây mọc tự nhiên trong rừng rậm thường xanh và rừng thưa, ở độ cao tới 1.800 m",0
0,Gloriosa superba L.,0,Melanthiaceae,"Bả chuột (củ). Độc, chú ý khi sử dụng.","Quảng Ngãi, Bình Định, Bình Thuận. Cây mọc tự nhiên trên đồng cát dựa biển.",Tháng VII-X
Mỏ hạc siberi,Geranium sibiricum L.,0,Geraniaceae,"Chữa ỉa chảy, tê thấp, bổ gân (cả cây).","Lào Cai, Nghệ An. Cây mọc tự nhiên.",IX – XII 
"Hổ vĩ, Lưỡi cọp xanh, Hổ vĩ xám",Sansevieria hyacinthoides (L.) Druce – Aloe hyacoithoides.; S. zeylanica (L.) Willd.,0,Dracaenaceae,"Chữa khản tiếng, sốt nóng, ho, viêm họng, viêm tai, đái buốt (Lá).",Cây nhập trồng.,V-IX
"Ráng bán tự, Sa bì",Tectaria wightii (C.B. Clark) Ching – Hemigramma decurens (Hook.) Copel.,0,Aspidiaceae,Lỵ (Thân rễ).,"Hà Tây, Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên trong rừng thứ sinh, rừng rậm thường xanh cây lá rộng nguyên sinh",0
Cỏ lác,Fimbristylis miliacea (L.) Vahl – Scirpus miliaceus L.,0,Cyperaceae.,Chữa nhiệt độc trong thai (cả cây).,"Cây mọc tự nhiên nơi ẩm, ruộng, ven đường nơi đất chua từ miền núi, trung du và đồng bằng.",III-XII
"Bọ nẹtTên gọi khác: Thuốc giấu, Đom đóm ba gân, Đẻng tòn phăng (Dao)",Alchornea trewioides (Benth.) Muell. – Arg.,0,Euphorbiaceae,Cầm máu (Lá). Tê liệt (cả cây).,Tam Đảo. Cây mọc tự nhiên trên đồi cây bụi. – ,IV-VII; 7-11
"Cốt khí muồng.Tên gọi khác:  Muồng lá khế, Muồng tây, Vọng giang nam, Muồng hoàng yến, Muồng hòe, Cốt khí hạt, Nhả pẻ po (Tày), Co nhả pẻ vài (Thái)",Senna occidentalis (L.) Link – Cassia occidentalis L.,0,Vang (Caesalpiniaceae),"Chữa tê thấp, bệnh ngoài da, hậu sản, táo bón, lỵ, khó tiêu (Hạt). Viêm đường tiết niệu (Thân,lá).",Cây mọc tự nhiên ở trung du và miền núi phổ biến khắp nơi ở Việt Nam.,IV-VI; 6-10
"Trạch tả, Mã đề nước",Alisma plantago-aquatica L.,0,Alismataceae,"Lợi tiểu, phù thũng, bạch đới, đái đường, kiết lỵ, đau lưng di tinh, viêm thận, đái buốt, đái rắt, đái ra máu (Thân rễ sắc uống).","Lai Châu, Lào Cai, Cao Bằng, Lạng Sơn, Sơn La, Thanh Hoá. Cây mọc tự nhiên ở ao hồ, ruộng nước; còn được trồng.",X-XI 
"Riềng lưỡi ngắn, Ngải hoang",Alpinia breviligulata (Gagnep.) Gagnep.,0,Zingiberaceae,Chữa đau bụng (Thân rễ).,"Thanh Hoá, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên trong lùm bụi, ẩm vùng đồng bằng.",VIII-IX
"Mây mật, Mây bốn góc",Calamus tetradactylus Hance.,0,Arecaceae,Chữa mụn nhọt và giải độc (cả cây dùng ngoài). Cây độc chú ý khi sử dụng.,"Cây mọc tự nhiên, còn được trồng khắp nơi ở Việt Nam.",V-VIII; 3-5 năm sau.
Mắt mèo đen,Mucuna nigricans (Lour.) Steud.,"Citta nigricans Lour., Mucuna gigantea var. nigricans (Lour.) DC.)",Đậu – Fabaceae,Chữa rắn cắn (hạt).,"Khánh Hòa (Nha Trang, Phú Hữu), Tây Ninh (Ninh Thanh), Đồng Nai (Trị An)",0
Ngũ vị tử ngọc linh,Schisandra sphenothera Rehder & E.H.Wilson,0,Schisandraceae,Quả của ngũ vị từ ngọc linh cũng được dùng như ngũ vị tử bắc.,"Quảng Nam (Nam Trà My: Ngọc Linh), Kon Tum (Tu Mơ Rông, Đắk Glei). Cây mọc tự nhiên ở rừng rậm thường xanh, ở độ cao khoảng 1800 m.",V; 10 
"Sam đá, Văn tử mộc",Pellionia tonkinensis Gagnep.,0,Urticaceae,"Sâu quảng, lở chân (cả cây giã đắp).","Tuyên Quang, Bắc Kạn, Thái Nguyên, Quảng Ninh. Cây mọc tự nhiên ven suối đá, trong rừng.",I-II
Dây vằng trắng Sơn mục.Tên gọi khác:  Dây rơm,Clematis granulata (Fin. & Gagnep.) Ohwi,0,Họ Mao lương (Ranunculaceae),"Thuốc bổ cho phụ nữ mới sinh, tê thấp, thuỳ thũng, viêm nhiễm đường tiết niệu, bế kinh và ít sữa (cả cây).","Quảng Nam, Đà Nẵng đến Khánh Hòa. Cây mọc tự nhiên dọc theo bờ suối, ở độ cao 300 – 1200m.",VI-VII
"Ngoã vi, Ổ nang vảy",Lepisorus thunbergianus (Kaulf.) Ching – Pleopeltis thunbergiana Kaulf.,0,Polypodiaceae,"Lỵ, lậu, lợi tiểu.","Khá hẹp. Lào Cai, Lạng Sơn, Vĩnh Phúc (Tam Đảo). Cây mọc tự nhiên, thường sống bám trên cây gỗ trong rừng rậm thường xanh, ở độ cao 1000 – 1800m",0
Dưa gang,Cucumis sativus L. var. conomon (Thunb.) Mak. – Cucumis conomon Thunb.,0,Cucurbitaceae,"Thuốc nhuận tràng, giải khát (Quả).",Cây trồng.,4-7
Tô liên,Torenia benthamiana Hance – Torenia tonkinensis Bonati,0,Scrophulariaceae,Đau thần kinh toạ (cả cây).,"Ninh Bình, Thanh Hóa, Đà Nẵng. Cây mọc tự nhiên nơi ẩm, ở độ cao 300-700 m.",0
"Kích nhũ, Viễn chí xiberi",Polygala sibirica L.,0,Polygalaceae,"Ho long đờm, viêm phổi, bạch đới, lỵ, đòn ngã tổn thương, đinh nhọt (cả cây).",Lâm Đồng. Cây mọc tự nhiên rải rác trong rừng.,V-VII 
"Dây mát, Chùm bao trứng",Passiflora edulis Sims,0,Lạc tiên – Passifloraceae,"Dùng làm thuốc bổ, kích thích thần kinh (thịt quả)","Trồng ở Hà Nội (Hà Đông), Hà Nội, Kon Tum, Gia Lai, Lâm Đồng (Đà Lạt)",Tháng 3 – 5. 
"Cần, Rau cần cơm, Rau cần ống, Khổ cần",Oenanthe javanica (Blume) DC. – Sium javanicum Blume,0,Apiaceae,"Viêm nhiễm đường tiết niệu, rong kinh, bạch đới, đòn ngã tổn thương, gãy xương, cao huyết áp (cả cây). Quả dùng chữa ho.",Cây trồng làm rau ăn vào mùa thu đến mùa xuân.,IV
"Kim đồng nam, Cây seri",Malpighia glabra L.,0,Malpighiaceae,"Thuốc bổ (Quả nhiều vitamin C). Cầm máu, viêm ruột, ỉa chảy, lỵ và rối loạn chứa năng gan (Quả).",Cây nhập trồng để lấy quả,0
"Vẫn lan, Lan cô lý","Collabium chinense (Rolfe) Tang et Chen – Nephelaphyllum chinense Rolfe,",0,Orchidaceae,"Môi miệng sưng lở, ho (cả cây).","Vĩnh Phúc (Tam Đảo), Hà Nội (Ba Vì), Kon Tum (Đắk Uy). Cây mọc tự nhiên rải rác trong rừng nguyên sinh, ở độ cao 800-1.000 m.",0
Vằng năm gân,Jasminum pentaneurum Hand.-Mazz.,0,Oleaceae,"Viêm vòm miệng, hầu họng, đinh nhọt, vết thương (cả cây).","Quảng Ninh, Quảng Nam, Đà Nẵng. Cây mọc tự nhiên ở ven rừng.",VIII-II; 2-5
"Cây nọc rắn, An điền cỏ",Hedyotis herbacea L. – Oldenlandia herbacea (L.) Roxb.,0,Rubiaceae,"Chữa sốt rét, hen suyễn (cả cây).",Cây mọc tự nhiên ở vùng ven biển.,I-XII.
"Tỳ bà, Nhót tây, Sơn trà nhật bản, Phì phà",Eriobotrya japonica (Thunb.) Lindl. – Mespilus japonica Thunb.,0,Rosaceae,"Ho, tiêu đờm, ỉa chảy, nôn, kích thích tiêu hoá (Lá).","Cao Bẳng (Trùng Khánh), Lạng Sơn, Hà Nội. Cây trồng.",IX-X; 1-4 
Đậu mèo dại,Mucuna bracteata DC.,0,Đậu (Fabaceae),"Giải nhiệt gan, rắn cắn (Rễ).","Cây mọc tự nhiên ở vùng núi, còn được trồng.",XII-I; 2-3
"Bứa lá thuôn, Bứa lá tròn dài, Bứa rừng",Garcinia oblongifolia Champ. ex Benth.,0,Bứa – Clusiaceae,"Chữa viêm loét dạ dày – tá tràng, viêm ruột; bỏng, mụn nhọt, eczema, dị ứng mẩn ngứa (vỏ thân).","Quảng Ninh (Tiên Yên), Tuyên Quang, Bắc Kạn, Thái Nguyên, Bắc Giang, Phú Thọ (Chân Mộng), Vĩnh Phúc (Tam Đảo), Hà Nội, Ninh Bình Ninh Thái), Thanh Hóa, Nghệ An, Quảng Trị (núi Răng Cọp), Thừa Thiên-Huế, Đà Nẵng (Liên Chiểu), Quảng Nam.",Tháng 3 – 7. 
"Trọng đũa, Đại la tán, Cơm nguội, Đại huyết tán, Tài lồ san, Ping cháp, Châu sa cắn, Khinh chăm (Tày), Tông lông đằng (Dao)",Ardisia crenata Sims.,0,Myrsinaceae,"Bổ phổi, phong thấp, ỉa chảy (Rễ sắc uống). Sưng tấy (Rễ ngâm rượu xoa bóp).","Lào Cai, Hà Giang, Quảng Ninh, Lạng Sơn, Thanh Hoá, Hoà Bình. Cây mọc tự nhiên ở rừng thưa, rừng cây gỗ ở độ cao 100-1800 m.",V-VI; 10-12 
"Đài háiTên tiếng Việt: Cây mỡ lợn, Dây hái, Mướp rừng, Dây beo, Dây sén, Mác kịnh (Tày)",Hodgsonia macrocarpa (Blume) Cogn. – Trichosanthes macrocarpa Blume,0,Bầu bí (Cucurbitaceae),"Chữa sưng vú, con tắc vào tai, mũi (Nhân hạt tán bột rắc). Dầu hạt có tác dụng nhuận tràng, chữa lỵ, loét mũi. Nước sắc của thân và lá có tính kháng sinh.","Sơn La, Lào Cai (Nghĩa Lộ), Cao Bằng, Lạng Sơn, Hòa BÌnh, Phú Thọ, Thanh Hóa, Nghệ An. Cây mọc tự nhiên ở chỗ sáng ven rừng, còn được trồng.",V; 6-10
Thần xạ trườn,Luvunga sarmentosa (Blume) Kurz – Triphasia sarmentosa Blume,0,Cam quýt (Rutaceae),"Phong thấp (Lá). Đau răng (Nhựa). Ở Indonesia (Java), dùng chữa các cơn đau do thấp khớp.","Quảng Bình, Quảng Trị, Thừa Thiên Huế, Khánh Hòa, Kon Tum. Cây mọc tự nhiên",0
"Xuyên tâm liên, Công cộng, Khổ diệp, Hùng bút, Khổ đởm thảo, Nguyễn cộng, Nhất kiến kỷ",Andrographis paniculata (Burm.f.) Wall.ex Nees – Justicia paniculata Burm.f.,0,Acanthaceae,"Cây có tính kháng sinh mạnh, thường dùng chữa sốt, cúm, ho, viêm họng, viêm phổi, sưng amygdal, viêm đường tiết niệu, viêm âm đạo, viêm loét cổ tử cung, khí hư, đau bụng kinh, thanh nhiệt, giải độc, ỉa chảy, lỵ, huyết áp cao, đau nhức cơ thể, tê thấp, mụn nhọt, ghẻ lở. Dùng ngoài giã đắp chữa mụn nhọt, rắn cắn. Là một trong những cây thuốc đang được nghiên cứu chữa bệnh HIV-AIDS.",Cây trồng.,IX-II 
Gắm cây,Gnetum gnemon L. var. gnemon,0,Gnetaceae,"Lá non, cụm hoa, quả non, quả chín đều ăn được, có tác dụng bổ dưỡng.","rất hẹp, mới chỉ gặp ở Bà Rịa Vũng Tàu (Côn Đảo). Cây mọc tự nhiên rải rác trong rừng rậm thường xanh trên trên sườn núi đá granit",0
"Thần xạ hương, Cam rừng",Luvunga scandens (Roxb.) Buch.-Ham. – LImonia scandens Roxb.,0,Rutaceae,"Phong thấp, bệnh gan, xơ gan cổ trướng (Cành lá, rễ).","Vĩnh Phúc, Hoà Bình, Ninh Bình, An Giang. Cây mọc tự nhiên rải rác trong rừng, ven rừng.",III-IV; 5-12
Đa gânTên tiếng Việt: Đa bắp bé,Ficus nervosa Heyne ex Roth,0,Họ thực vật: Dâu tằm (Moraceae),"Thuốc lợi tiểu. Chữa bội thực, phong thấp đau xương, sa dái (Vỏ, tua rễ).","Lạng Sơn, Ninh Bình, Đà Nẵng. Cây mọc tự nhiên, còn được trồng làm cảnh",0
Cườm đỏ,Itoa orientalis Hemls.,0,Mùng quân (Flacourtiaceae),"Chữa phong tê thấp, đòn ngã tổn thương, bệnh bạch huyết (Rễ).","Lai Châu (Phong Thổ). Lào Cai (Sa Pa), Hòa Bình (Pà Cò), Nghệ An (Mường Lống Kỳ Sơn). Cây mọc tự nhiên ở độ cao 1000 – 2000 m.",I – II; 4 – 10.
"Lõi thọ, Tu hú gỗ",Gmelina arborea Roxb.,0,Verbenaceae,"Vỏ và rễ làm thuốc bổ. Dịch lá chữa lậu, ho, các vết loét. Rễ chữa phù thận, tiêu hóa kém.","Sơn La (Sông Mã, Mộc Châu), Quảng Bình. Cây mọc tự nhiên, rải rác trong rừng thứ sinh, ở độ cao 100-1.000 m.",IV-V; 6-12 
"Tre gai, Mạy phấy (Tày), Hiáu ghím (Dao)",Bambusa bambos (L.) Voss,0,Poaceae,"Cảm, sốt, viêm thận, đái ra máu (Tinh tre). Tiêu đờm, co giật, sưng mắt (Lá xông).","Sơn La, Tuyên Quang, Vĩnh Phúc (Vĩnh Yên), Lâm Đồng, Nam Bộ. Cây thường được trồng.",0
"Khoai sọ, Khoai môn, Khoai nước, Môn nước, Môn ngọt",Colocasia esculenta (L.) Schott – C. antiquorum Schott,0,Araceae,"Chữa mụn nhọt (Lá giã đắp). Còn dùng chữa rắn cắn, ong đốt, bệnh tâm thần, động thai.",Cây mọc tự nhiên và trồng lấy củ ăn.,IX-X 
"Chòi mòi nhung, Chòi mòi lông dài",Antidesma velutinosum Blume,0,Euphorbiaceae.,Dùng như Chòi mòi.,"Vĩnh Phúc (Tam Đảo), Hà Tĩnh (Hương Sơn). Cây mọc tự nhiên dưới tán rừng, ở độ cao 1001-1200 m",0
"Cơm nguội nhỏ, Cây dang dang, Lục chột",Ardisia humilis Vahl,0,Họ Đơm nem (Myrsinaceae),"Thuốc bổ máu, chữa phong thấp (cả cây).","Thanh Hóa, Thừa Thiên Huế, Khánh Hòa, Kon Tum, Lâm Đồng. Cây mọc tự nhiên rải rác trong rừng hỗn giao, sườn đồi, ở độ cao tới 1000 m.",II-V; 6-8
Bìm bôi,Merremia boisiana (Gagnep.) Ooststr. – Ipomoea boisiana Gagnep.,0,Convolvulaceae,"Huyết hư, cứng xương khớp, phong thấp đau xương, đau buốt thắt lưng (Thân).","Lào Cai, Lạng Sơn, Quảng Ninh, Thừa Thiên Huế, Quảng Nam. Cây mọc tự nhiên ven rừng, lùm bụi, ven đường, nơi sáng, ở độ cao 300-500 m.",XII-III
Má đào lá hoa,Aeschynanthus bracteatus Wall. ex A. DC.,0,"Tai voi – GesneriaceaePhân bố: Cao Bằng (Nguyên Bình, Phia Oắc, Nam Kep), Kon Tum (Đắk Glei, Măng Cành).",,"Cao Bằng (Nguyên Bình, Phia Oắc, Nam Kep), Kon Tum (Đắk Glei, Măng Cành).Công dụng: Chữa bệnh thủy tích (rễ).","Hoa tháng 6 – 8, quả tháng 9 – 10."
"Lá men tàu, Thạch hương nhu",Mosla chinensis Maxim.,0,Lamiaceae,"Chữa lỵ, rắn cắn, đau dạ dày, mẩn ngứa (cả cây).","Cây mọc tự nhiên ở núi Mẫu Sơn, tỉnh Lạng Sơn",0
Tơ hồng nam,Cuscuta australis R. Br.,0,Cuscutaceae,"Chữa can thận hư, lưng gối yếu mỏi, liệt dương, di tinh, đái đục, đầu váng, mắt hoa, động thai (Hạt).",Cây phân bố ở các tỉnh phía Nam,0
Kốp harmand,Kopsia harmandiana Pierre ex Pit.,0,Trúc Đào (Apocyaceae,0,0,0
"Nan ông ba gân, Thuỷ ma lá mua",Pilea melastomatoides (Poir.) Wedd. – Urtica melastomatoides Poir.,0,Urticaceae.,Đòn ngã tổn thương (cả cây).,"Lào Cai, Bắc Kạn, Hà Nội. Cây mọc tự nhiên ở vùng núi, tới độ cao 800 m.",V-VII; 8-11
"Nhài lá nguyệt quế, Nhài lá quế",Jasminum laurifolium Roxb.,0,Nhài – OleaceaePhân bố: Gia Lai (Kon Hà Nùng).,,"Gia Lai (Kon Hà Nùng).Công dụng: Chữa lỵ, cảm nhiễm niệu đạo, viêm bàng quang, viêm niệu đạo, thận viêm thủy thũng, đòn ngã tổn thương, bị treo chân.","Hoa tháng 5 – 6, quả tháng 8 – 12. "
"Sát khuyển, Dưa lông nhím, Quả lông nhím.",Cynanchum corymbosum Wight,0,Asclepiadaceae,"Bệnh phổi, thần kinh suy nhược, viêm gan, viêm thận, thiếu sữa, lao phổi (cả cây).","Lao Cai, Ninh Bình, Hà Nam. Cây ưa sáng, mọc tự nhiên ven rừng, ven đường đi",0
Nụ áo tròn,Spilanthes callimorpha A. Moore,0,Asteraceae,"Lá và hoa chữa viêm lợi, viêm chân răng, sâu răng.","Lai Châu, Lào Cai, Cao Bằng, Lạng Sơn. Cây mọc rải rác trên trảng cây bụi và ven rừng thưa, ở độ cao 300-1300 m",0
Ráng vi quần,Microsorum steerei (Harr.) Ching – Polypodium steerei Harr.,0,Polypodiaceae,"Tỳ sưng to, viêm bàng quang, lợi tiểu (cả cây).","Cao Bằng, Thừa Thiên Huế (Bạch Mã). Cây mọc tự nhiên, thường sống bám trên đá, chủ yếu ở ven suối trong vùng rừng rậm thường xanh, ở độ cao 0 – 600m",0
"Bọ cạp nướcTên gọi khác:  Muồng bọ cạp, Muồng hoàng yến",Cassia fistula L.,0,Vang (Caesalpiniaceae),"Chữa nấm da (Lá). ỉa chảy, thấp khớp, ăn uống không tiêu, tay chân nhức mỏi, táo bón, lỵ (Quả). Sốt (Hoa). Giun đũa (Gỗ).","Kon Tum (Sa Thầy), Gia Lai (Ayunpa, Cheo Reo). Cây mọc tự nhiên trong rừng hỗn giao rụng lá, đôi khi trong rừng thưa cây họ Dầu.",III-IV; 11
Cóc chuột,Lannea coromandelica (Houtt.) Merr. – Dialium coromandelicum Houtt.,0,Họ Đào hột lộn (Anacardiaceae),"Chữa ngộ độc cá cóc, dứa, sắn (Lớp vỏ bên trong cây). Chữa đau răng, rửa các vết lở loét (nước sắc vỏ cây). Lá hơ nóng đắp làm giảm sưng đau.","Khánh Hoà, Ninh Thuận, Tây Ninh. Cây mọc tự nhiên rải rác trong rừng thứ sinh, ở độ cao dưới 600 m.",II-V
Nguôn bản,Gongronema nepalense (Wall.) Decne.,0,Asclepiadaceae,"Chữa viêm đại tràng (Thân, lá sắc uống). Đau lưng do thận hư, sa tử cung, tắc tia sữa, ho mất tiếng ( Thân sắc uống).","Bắc Cạn. Dây leo mọc tự nhiên trong rừng thưa, ẩm.",III-V; 5-10 
"Huyết đằng lông, Dây máu, Dok tran (Thái), Giềng giềng đẹp",Butea superba Roxb.,0,Fabaceae (Đậu),"Thuốc bổ máu, chữa phong thấp, kích thích tiêu hoá (Thân). Lá có tác dụng giảm đau.","Tây Ninh, thành phố Hồ Chí Minh (trồng ở Thảo Cầm Viên). Cây mọc tự nhiên rải rác trong rừng thưa vùng đồng bằng",0
Ốc tử,Cochlospermum religiosum (L.) Alston – Bombax religiosum L.,0,Cochlospermaceae,Chữa ho và bệnh lậu (Gôm). Kích thích thần kinh (Lá và hoa).,Lâm Đồng (Đà Lạt). Cây mọc tự nhiên ở núi cao,0
"Bồ kết.Tên gọi khác : Tạo giác, Phắc kết (Tày), Chùm kết, Co kết (Thái)",Gleditsia australis Hemsl. ex Forbes et Hemsl.,0,Caesalpiniaceae,"Ho, tiêu đờm, tràng nhạc, nhọt độc (Vỏquả hoặc gai sắc uống). Đau nức răng (Quả tán bột ngậm, nhổ nước).",Cây trồng.,VII – XII
Bằng lăng khế,Terminalia alata Heyne ex Roth,0,Combretaceae,Ỉa chảy (Vỏ).,Cây mọc tự nhiên ở các tỉnh phía Nam và còn được trồng.,I-IV; 4-11
"Bời lời đắng.Tên gọi khác : Bời lời hoa tán, Mò lông, Nhan sang",Litsea umbellata (Lour.) Merr. – Hexanthus umbellatus Lour.,0,Nguyệt quế (Lauraceae),Mụn nhọt (Lá).,"Sơn La (Mộc Châu), Phú Thọ (Phú Hộ), Hà Nội (Ba Vì), Kon Tum (Gia Lai). Cây mọc tự nhiên rải rác trong rừng thứ sinh, ở độ cao 500-1200 m.",II-IV
"Lan lọng, Cầu diệp rất thơm",Bulbophyllum odoratissimum (Smith) Lindl. – Stelis odoratissima Smith ,0,Orchidaceae,"Thuốc điều kinh, bó gãy xương, trị lao phổi, viêm khí quản mạn tính (cả cây).","Vĩnh Phú, Kon Tum. Cây mọc tự nhiên, bám trên cây gỗ trong rừng thưa, ở độ cao 800-1.600 m",0
Hoa mộc,Osmanthus fragrans (Thunb.) Lour. – Olea fragrans Thunb.,0,Oleaceae,"Chữa ho, đau răng, đậu mùa, phù, lở loét (Lá). Rễ chữa phong thấp, đau lưng, thận hư. Vỏ thân sắc uống làm sáng mắt. Hoa chữa bế kinh, đau bụng.","Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây trồng.",IX-X; 12-3
"Tràm bông đỏ, Kiều nhuỵ",Callistemon citrinus (Curtis) Skeels – Metrodideros citrina Curtis,0,Myrtaceae,"Chữa cảm sốt, ho; có tác dụng khử đờm, tiêu viêm (Lá).","Cây nhập trồng, phổ biến ở miền Nam.",V-X 
